ym,crime,occ,vit
2025-02,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",593,57
2025-02,"LETAIS_E_VIOLENTOS",106,128
2025-02,"PATRIMONIAIS_COM_VIOLENCIA",2214,2372
2025-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS",350,356
2025-02,"ARMAS_E_MUNICOES",479,144
2025-03,"PATRIMONIAIS_SEM_VIOLENCIA",12543,9868
2025-03,"CRIMES_SEXUAIS_E_EXPLORACAO",781,788
2025-03,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2250,35
2025-03,"VIOLENCIA_INTERPESSOAL_DOMESTICA",21126,22717
2025-03,"FRAUDES_E_FE_PUBLICA",11377,11314
2025-03,"TRANSITO",6030,4181
2025-03,"PATRIMONIAIS_COM_VIOLENCIA",2403,2502
2025-03,"ORDEM_PUBLICA_E_OUTROS",4796,3907
2025-03,"ARMAS_E_MUNICOES",531,143
2025-03,"VULNERAVEIS_E_CUIDADO",1357,1102
2025-03,"LETAIS_E_VIOLENTOS",144,173
2025-03,"ADMINISTRACAO_PUBLICA_E_JUSTICA",1051,595
2025-03,"DISCRIMINACAO_E_DIREITOS_HUMANOS",413,429
2025-03,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",562,29
2025-04,"PATRIMONIAIS_SEM_VIOLENCIA",11490,8902
2025-04,"VIOLENCIA_INTERPESSOAL_DOMESTICA",18017,19375
2025-04,"FRAUDES_E_FE_PUBLICA",11198,11063
2025-04,"TRANSITO",5509,3910
2025-04,"CRIMES_SEXUAIS_E_EXPLORACAO",701,701
2025-04,"ORDEM_PUBLICA_E_OUTROS",4493,3740
2025-04,"PATRIMONIAIS_COM_VIOLENCIA",2188,2289
2025-04,"VULNERAVEIS_E_CUIDADO",1321,1091
2025-04,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2189,30
2025-04,"LETAIS_E_VIOLENTOS",127,152
2025-04,"ADMINISTRACAO_PUBLICA_E_JUSTICA",951,560
2025-04,"DISCRIMINACAO_E_DIREITOS_HUMANOS",383,383
2025-04,"ARMAS_E_MUNICOES",473,108
2025-04,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",553,27
